RTS,TK,rep,Lat,Long,age,ageCat,soil,Pcover,depth11,pH11sum,BD11sum,kgm2Water11sum,EOC11sum,ETN11sum,EON11sum,NH411sum,NO311sum,PO411sum,MBC11sum,MBN11sum,MBP11sum,P11,N11,C11,Nodules11sum,LegumeCover11sum,TN resin fall10,TNresin11,GrossMin11sum,GrossCons11,NetNH4minSum11,NetPminSum11
Iminus,TK1,R1,68.55333,149.57365,8,Arecent,Organic,0.17,5.5,6.46,0.15,1.37,800.11,91.5,58.5,32.34,0.66,14.06,1232.6,194.28,18.47,,6.88,123.95,,0,,0,1394.18,1353.52,6.99,0.596194769
Iminus,TK1,R2,68.55341,149.57391,8,Arecent,Organic,0.17,10,4.65,0.28,7.25,3605.63,411.96,342.5,39.91,29.55,90.6,2831.87,309.62,13.92,,25.07,395.58,,0,105.4829211,52.92,1231.35,562.55,17.53,
Iminus,TK1,R3,68.5535,149.57407,8,Arecent,Organic,0.17,10,4.55,0.3,9.17,6857.58,683.95,615.19,32.96,35.81,135.25,2428.39,283.22,0,1.09,29.6,410.28,,0,0,117.87,0,500.36,22.25,-7.1340994
Iminus,TK1,R4,68.55358,149.57422,8,Arecent,Organic,0.17,7.5,4.65,0.22,6,2307.83,270.83,223.59,44.55,2.68,61.87,1663.84,233.97,0.16,0.94,18.99,339.25,,0,34.08422145,165.6,0,50.09,23.63,-2.633607739
Iminus,TK1,R6,68.55358,149.57446,8,Arecent,Organic,0.17,10,5.64,0.28,13.57,2353.1,263.72,239.59,19.01,5.12,82.91,765.75,137.03,0,0.72,28.47,435.64,,0,13.1576369,21.66,0,0,5.18,-3.087376522
Iminus,TK2,R2,68.55373,149.57495,16,Bshrub,Organic,0.17,10,5.39,0.29,7.85,3461.73,359.67,352.45,5.17,2.05,105.29,2526.35,357.08,0,,33.97,515.81,,0,4.935205149,0,0,25.95,4.228,-5.770917781
Iminus,TK2,R3,68.55382,149.57504,16,Bshrub,Organic,0.17,9,4.57,0.16,3.64,1390.63,136.89,130.21,6.55,0.14,25.06,1687.26,240.39,36.31,0.56,9.33,179.35,,0,35.39200548,,0,0,31.364,
Iminus,TK2,R4,68.55383,149.57526,16,Bshrub,Organic,0.17,10,7.38,0.14,4.33,1329.29,265.25,115.55,152.54,0,48.67,4460.94,795.43,23.27,0.48,7.46,168.46,,0,,0.89,4244.77,1593.79,-4.47,-0.474711773
Iminus,TK2,R5,68.55393,149.57536,16,Bshrub,Organic,0.17,8.5,5.67,0.24,2.3,1033.69,109.92,103.39,6.03,0.5,58.32,2077.65,204.41,0,0.84,9.16,158.12,,0,8.436300277,0,0,1516.59,22.266,0.523687383
Iminus,TK2,R6,68.554,149.57555,16,Bshrub,Organic,0.17,2.5,6.44,0.18,0.78,304.61,50.59,23.33,27.18,0.08,11.77,1517.33,224.97,28.1,,4.22,91.31,,0,0.766797833,,1870.14,614.81,6.934,0.460045416
Iminus,TK3,R2,68.55452,149.57574,25,Bshrub,Organic,0.33,8,5.92,0.22,7.03,3243.7,504.36,263.39,239.76,1.2,112.02,14056.05,1602.96,36.57,1.51,21.25,399.08,,0,0,7.13,961.86,776.11,5.067,-2.019447462
